rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
16,1,00:14:14,25620,7,9,21,1,short service,0.0,1,2.0,7,-0.3902439024390244,0.41984375,,,8,184.6,317.52,8,132.3,665.82,1,25,2014
16,2,00:14:14,25640,7,9,22,2,net shot,0.0,0,2.0,7,-0.8512195121951219,0.0096354166666667,,,7,126.7,577.15,8,160.8,314.21,1,25,2014
16,3,00:14:15,25663,7,9,21,2,lob,0.0,0,1.0,3,1.1475609756097565,1.5544791666666669,,,7,112.8,396.84,8,144.1,603.7,1,25,2014
16,4,00:14:16,25700,7,9,22,2,drop,0.0,0,2.0,8,-0.7585365853658537,-0.7828645833333333,,,3,255.9,765.33,8,166.8,302.05,1,25,2014
16,5,00:14:17,25718,7,9,21,2,push/rush,0.0,0,1.0,8,-0.8341463414634147,0.8318229166666669,,,8,132.9,298.57,8,243.0,751.54,1,25,2014
16,6,00:14:17,25735,7,9,22,2,defensive shot,0.0,1,2.0,1,-0.9390243902439024,-0.3521875,,,8,131.0,656.78,8,127.6,304.67,1,25,2014
16,7,00:14:18,25759,7,9,21,2,net shot,0.0,0,2.0,2,-1.0719512195121952,0.439375,,,8,110.2,340.46,8,168.6,642.43,1,25,2014
16,8,00:14:19,25784,7,9,22,2,net shot,0.0,1,2.0,7,-0.4451219512195122,-0.1050000000000001,,,8,118.4,611.34,8,146.0,334.99,1,25,2014
16,9,00:14:20,25806,7,9,21,2,net shot,0.0,0,2.0,7,-0.2195121951219512,0.2820312499999999,,,7,138.4,405.21,8,154.2,615.61,1,25,2014
16,10,00:14:20,25829,7,9,22,2,lob,0.0,0,1.0,9,0.7695121951219511,-1.5911979166666663,,,7,154.7,562.76,7,157.5,375.32,1,25,2014
16,11,00:14:22,25867,7,9,21,3,clear,1.0,0,2.0,10,-0.2841463414634148,1.795260416666667,out,21.0,9,188.2,200.38,8,185.3,659.14,1,25,2014
