rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
3,1,00:10:41,19251,1,2,5,1,short service,0.0,1,2.0,7,-0.3256097560975608,-0.4407291666666666,,,8,183.1,641.85,8,128.0,283.37,1,9,726
3,2,00:10:42,19273,1,2,13,2,lob,0.0,0,1.0,4,-1.1426829268292684,1.5713541666666668,,,7,157.1,375.1,8,185.0,644.6,1,9,726
3,3,00:10:43,19310,1,2,5,2,clear,1.0,0,1.0,9,-0.1500000000000001,-1.50578125,,,9,145.0,758.19,8,147.6,333.88,1,9,726
3,4,00:10:45,19357,1,2,13,2,drop,0.0,0,2.0,5,1.1402439024390243,0.8664583333333334,,,8,140.8,215.14,8,172.4,703.24,1,9,726
3,5,00:10:45,19377,1,2,5,2,defensive shot,0.0,0,2.0,2,1.4073170731707314,-0.2024479166666667,,,8,212.0,689.69,8,164.8,234.74,1,9,726
3,6,00:10:46,19407,1,2,13,2,net shot,0.0,1,2.0,2,-1.401219512195122,0.3621874999999998,,,2,254.2,393.04,8,219.0,645.08,1,9,726
3,7,00:10:47,19435,1,2,5,2,lob,0.0,1,1.0,9,0.6939024390243903,-1.485625,,,2,95.8,586.64,7,192.7,375.42,1,9,726
3,8,00:10:49,19480,1,2,13,2,drop,1.0,0,2.0,2,-0.9768292682926828,0.5736979166666666,,,8,204.0,222.08,8,164.4,640.22,1,9,726
3,9,00:10:50,19503,1,2,5,2,net shot,0.0,1,2.0,1,-1.2890243902439025,-0.2966145833333333,,,8,118.6,631.27,8,192.2,215.45,1,9,726
3,10,00:10:51,19535,1,2,13,2,net shot,0.0,0,2.0,1,1.1865853658536587,0.4119791666666668,,,1,94.3,396.29,8,162.8,661.51,1,9,726
3,11,00:10:52,19565,1,2,5,2,lob,0.0,0,1.0,6,1.2317073170731707,-1.3075,,,8,229.3,605.25,8,162.5,339.32,1,9,726
3,12,00:10:53,19596,1,2,13,2,smash,1.0,0,2.0,8,0.1707317073170731,1.0284895833333334,,,8,197.5,256.87,8,218.7,675.06,1,9,726
3,13,00:10:53,19608,1,2,5,2,defensive shot,0.0,1,2.0,8,0.8414634146341463,-0.703125,,,8,221.3,719.82,8,215.7,250.81,1,9,726
3,14,00:10:54,19636,1,2,13,2,lob,0.0,1,1.0,4,-1.0402439024390244,1.5572395833333337,,,8,206.0,363.02,8,191.9,701.22,1,9,726
3,15,00:10:55,19672,1,2,5,2,clear,1.0,0,1.0,9,-0.7914634146341464,-1.4709895833333333,,,8,142.8,754.2,8,158.2,320.43,1,9,726
3,16,00:10:57,19723,1,2,13,2,clear,0.0,0,1.0,6,-1.0207317073170732,1.3403645833333335,,,8,108.2,204.98,8,166.1,697.32,1,9,726
3,17,00:10:58,19752,1,2,5,2,clear,1.0,0,1.0,3,-0.9902439024390244,-1.435625,,,8,134.5,738.82,8,152.9,295.15,1,9,726
3,18,00:11:00,19802,1,2,13,2,drop,0.0,0,2.0,5,1.1914634146341463,0.7464583333333336,,,5,96.7,224.66,8,172.3,692.69,1,9,726
3,19,00:11:00,19824,1,2,5,2,defensive shot,0.0,0,1.0,4,1.2060975609756095,-1.4125,,,8,209.0,676.17,8,127.6,256.39,1,9,726
3,20,00:11:01,19859,1,2,13,3,clear,1.0,0,2.0,3,1.135365853658537,1.7294270833333332,opponent's ball landed,13.0,8,232.6,231.97,8,237.5,659.98,1,9,726
