rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
27,1,00:20:47,37414,13,14,19,1,long service,0.0,1,1.0,4,1.419512195121951,-1.4363541666666666,,,8,171.0,631.5,8,227.7,280.55,1,39,3198
27,2,00:20:48,37445,13,14,6,2,clear,0.0,0,1.0,3,1.065853658536585,1.7306770833333331,,,8,221.8,236.22,8,206.0,652.48,1,39,3198
27,3,00:20:49,37481,13,14,19,2,clear,0.0,0,1.0,4,1.369512195121951,-1.4681770833333332,,,9,246.2,808.16,8,185.0,278.2,1,39,3198
27,4,00:20:50,37521,13,14,6,2,clear,0.0,0,1.0,3,1.2609756097560971,1.614010416666667,,,8,250.2,227.33,8,197.0,672.83,1,39,3198
27,5,00:20:52,37564,13,14,19,2,clear,0.0,0,1.0,4,1.1621951219512197,-1.4514062499999998,,,3,272.2,797.25,8,192.2,267.28,1,39,3198
27,6,00:20:53,37604,13,14,6,2,smash,0.0,0,2.0,5,1.4939024390243902,1.00578125,,,8,242.8,209.74,8,200.9,679.38,1,39,3198
27,7,00:20:54,37622,13,14,19,2,defensive shot,0.0,0,1.0,2,1.2768292682926827,-0.3736458333333334,,,8,220.3,689.58,8,233.3,224.56,1,39,3198
27,8,00:20:55,37651,13,14,6,2,push/rush,0.0,1,1.0,4,-1.0378048780487803,1.614375,,,2,267.3,395.35,5,261.2,657.62,1,39,3198
27,9,00:20:56,37686,13,14,19,2,smash,0.0,0,2.0,5,-1.1134146341463411,-1.136875,,,8,143.2,749.68,8,177.1,270.14,1,39,3198
27,10,00:20:56,37698,13,14,6,2,defensive shot,0.0,0,2.0,1,0.9707317073170731,0.6583333333333332,,,8,112.1,289.48,9,123.5,781.95,1,39,3198
27,11,00:20:57,37730,13,14,19,3,net shot,0.0,0,2.0,2,0.9890243902439028,0.0098437499999999,touched the net,19.0,8,227.2,634.01,8,151.4,275.78,1,39,3198
