rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
1,1,00:05:24,9731,0,1,6,1,short service,0.0,1,2.0,7,-0.2560975609756097,-0.4850520833333333,,,8,184.0,626.93,8,127.6,281.78,1,4,284
1,2,00:05:25,9754,0,1,0,2,lob,0.0,1,1.0,6,-0.9280487804878048,1.458697916666667,,,7,133.3,369.63,8,181.8,653.88,1,4,284
1,3,00:05:26,9787,0,1,6,2,clear,1.0,0,1.0,8,0.7024390243902439,-1.2415104166666666,,,8,137.2,744.18,8,129.2,320.89,1,4,284
1,4,00:05:27,9817,0,1,0,2,drop,1.0,0,2.0,1,1.0231707317073169,0.3066145833333333,,,8,196.9,257.93,8,165.9,707.75,1,4,284
1,5,00:05:28,9851,0,1,6,2,lob,0.0,0,1.0,9,-0.7926829268292683,-1.38578125,,,5,251.6,600.08,8,210.7,288.05,1,4,284
1,6,00:05:29,9894,0,1,0,2,drop,0.0,0,2.0,6,-1.3597560975609757,1.073020833333333,,,9,125.6,200.67,8,199.1,673.69,1,4,284
1,7,00:05:30,9916,0,1,6,2,push/rush,0.0,1,2.0,3,-1.4073170731707318,-1.4244270833333337,,,6,88.8,669.83,8,143.7,240.57,1,4,284
1,8,00:05:31,9951,0,1,0,2,drop,0.0,0,2.0,6,-1.2829268292682927,0.7178125000000003,,,5,91.1,214.81,8,164.3,673.9,1,4,284
1,9,00:05:32,9975,0,1,6,2,net shot,0.0,1,2.0,2,1.1060975609756096,-0.2975,,,6,86.1,648.28,8,124.3,251.28,1,4,284
1,10,00:05:33,10004,0,1,0,2,lob,0.0,1,1.0,9,-0.6609756097560976,1.514010416666667,,,7,242.7,394.96,8,162.3,663.27,1,4,284
1,11,00:05:34,10048,0,1,6,2,clear,0.0,0,1.0,4,1.017073170731707,-1.5435416666666668,,,8,136.1,753.62,8,159.4,296.21,1,4,284
1,12,00:05:36,10083,0,1,0,2,drop,0.0,1,2.0,1,1.1182926829268292,0.5860416666666666,,,8,237.8,225.89,8,179.5,704.8,1,4,284
1,13,00:05:36,10109,0,1,6,3,net shot,0.0,0,2.0,2,1.4987804878048778,-0.2882812500000001,opponent's ball landed,0.0,8,226.0,628.24,8,192.4,268.22,1,4,284
