rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
32,1,00:25:29,45896,19,13,1,1,short service,0.0,1,1.0,7,-0.3256097560975608,0.6519270833333332,,,8,183.1,332.32,8,116.5,675.53,1,56,4734
32,2,00:25:30,45917,19,13,34,2,net shot,0.0,1,2.0,2,1.2365853658536583,-0.3959374999999999,,,7,166.5,586.36,8,164.2,298.84,1,56,4734
32,3,00:25:31,45940,19,13,1,2,lob,0.0,1,1.0,4,-1.10609756097561,1.5396354166666668,,,2,259.2,376.93,8,203.9,602.53,1,56,4734
32,4,00:25:32,45974,19,13,34,2,smash,1.0,0,2.0,5,-1.2999999999999998,-1.0875,,,8,117.4,746.71,8,161.9,292.74,1,56,4734
32,5,00:25:32,45989,19,13,1,2,defensive shot,0.0,0,1.0,2,-1.2426829268292685,0.2657291666666665,,,8,127.8,267.43,6,85.5,750.83,1,56,4734
32,6,00:25:33,46014,19,13,34,2,net shot,0.0,1,2.0,7,0.7012195121951219,-0.4428124999999999,,,2,89.8,565.83,5,83.9,262.67,1,56,4734
32,7,00:25:34,46037,19,13,1,2,lob,0.0,1,1.0,9,0.9182926829268294,1.6333854166666668,,,8,221.3,353.24,7,140.2,570.81,1,56,4734
32,8,00:25:35,46074,19,13,34,2,drive,0.0,0,1.0,2,1.0085365853658534,-0.5060937500000001,,,9,218.4,779.31,8,177.3,300.99,1,56,4734
32,9,00:25:36,46096,19,13,1,2,net shot,0.0,1,2.0,7,0.676829268292683,0.1973437499999999,,,7,224.9,367.78,8,196.6,748.01,1,56,4734
32,10,00:25:37,46125,19,13,34,2,net shot,0.0,0,2.0,7,0.8560975609756096,-0.1322916666666665,,,7,219.7,549.9,8,206.1,349.42,1,56,4734
32,11,00:25:38,46154,19,13,1,2,lob,0.0,1,1.0,9,-0.5390243902439023,1.6630208333333332,,,7,211.8,418.99,7,213.8,569.73,1,56,4734
32,12,00:25:40,46208,19,13,34,2,smash,0.0,0,2.0,6,1.3524390243902435,-0.9325520833333334,,,9,152.8,766.91,8,162.9,312.77,1,56,4734
32,13,00:25:40,46229,19,13,1,2,defensive shot,0.0,1,1.0,1,1.2512195121951222,0.3522916666666666,,,8,166.2,284.59,9,153.6,765.38,1,56,4734
32,14,00:25:42,46261,19,13,34,2,net shot,0.0,0,2.0,2,1.5597560975609754,-0.1964062499999999,,,1,252.9,567.36,8,202.4,319.03,1,56,4734
32,15,00:25:43,46291,19,13,1,2,lob,0.0,1,1.0,3,1.4378048780487802,1.6699479166666666,,,2,270.8,425.87,7,240.8,562.44,1,56,4734
32,16,00:25:45,46352,19,13,34,2,drop,0.0,0,2.0,5,-1.2695121951219512,-0.6186458333333332,,,3,279.8,758.68,8,186.1,288.92,1,56,4734
32,17,00:25:45,46374,19,13,1,3,net shot,0.0,0,2.0,1,-1.3646341463414635,-0.0332812499999999,touched the net,34.0,8,142.6,310.59,5,301.8,735.47,1,56,4734
